Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 5.006
0, 0.00098, 5.014
0, 0.00195, 5.009
0, 0.00293, 5.011
0, 0.00391, 5.010
0, 0.00586, 5.020
0, 0.00781, 5.008
0, 0.01172, 5.021
0, 0.01562, 5.016
0, 0.02344, 5.010
0, 0.03125, 5.011
0, 0.04688, 5.017
0, 0.06250, 5.358
0, 0.09375, 5.478
0, 0.12500, 5.354
0, 0.18750, 2.788
0, 0.25000, 2.745
0, 0.37500, 2.783
0, 0.50000, 2.846
0, 0.75000, 2.843
0, 1.00000, 2.836
0, 1.50000, 4.205
0, 2.00000, 6.258
0, 3.00000, 9.520
0, 4.00000, 10.010
0, 6.00000, 9.554
0, 8.00000, 12.031
0, 12.00000, 12.087
0, 16.00000, 12.214
0, 24.00000, 13.644
0, 32.00000, 18.277
0, 48.00000, 29.552
0, 64.00000, 35.362
0, 96.00000, 40.126
0, 128.00000, 42.362
0, 192.00000, 43.469
0, 256.00000, 44.505
0, 384.00000, 46.405
0, 512.00000, 48.120
0, 768.00000, 52.000
0, 1024.00000, 54.135
